"game_date","game_id","team_home","team_away","period","clock","secs_game","event_num","msg_type","act_type","team_abb","poss_team","poss_home","poss_away","description","action_type","sub_type","and1","total_fta","team_ft","player_ft","player1_name","event_pts","score_home","score_away","poss_number","margin_start_poss","start_poss","pts_poss","ids_lineup_off","names_lineup_off","ids_lineup_def","names_lineup_def","garbage_time","id_player_off_pg","id_player_off_sg","id_player_off_sf","id_player_off_pf","id_player_off_c","id_player_def_pg","id_player_def_sg","id_player_def_sf","id_player_def_pf","id_player_def_c"
2026-04-19,"0042500101","DET","ORL",1,"11:00.00",60,17,5,39,"ORL","ORL",0,1,"D. Bane step out-of-bounds TURNOVER (1 TO)","turnover","out-of-bounds",NA,NA,NA,NA,"1630217 Desmond Bane",0,0,3,4,NA,"11:01.00",0,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"10:55.00",65,18,1,1,"DET","DET",1,0,"D. Robinson 25' 3PT  (3 PTS) (T. Harris 1 AST)","3pt","Jump Shot",NA,NA,NA,NA,"1629130 Duncan Robinson",3,3,3,5,-3,"11:00.00",3,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"10:34.00",86,20,1,1,"ORL","ORL",0,1,"J. Suggs 26' 3PT  (6 PTS) (W. Carter Jr. 1 AST)","3pt","Jump Shot",NA,NA,NA,NA,"1630591 Jalen Suggs",3,3,6,6,0,"10:55.00",3,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"10:24.00",96,22,6,1,"ORL","DET",0,0,"D. Bane personal FOUL (1 PF)","foul","personal",NA,NA,NA,NA,"1630217 Desmond Bane",0,3,6,7,-3,"10:34.00",NA,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"10:16.00",104,24,2,1,"DET","DET",1,0,"MISS T. Harris 3PT","3pt","Jump Shot",NA,NA,NA,NA,"202699 Tobias Harris",0,3,6,7,NA,"10:34.00",0,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"10:13.00",107,25,4,0,"ORL","ORL",0,0,"J. Suggs REBOUND (Off:0 Def:1)","rebound","defensive",NA,NA,NA,NA,"1630591 Jalen Suggs",0,3,6,8,3,"10:13.00",NA,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"10:03.00",117,26,1,47,"ORL","ORL",0,1,"P. Banchero 12' turnaround Jump Shot (2 PTS)","2pt","Jump Shot",NA,NA,NA,NA,"1631094 Paolo Banchero",2,3,8,8,NA,"10:13.00",2,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"09:39.00",141,28,2,101,"DET","DET",0,0,"MISS D. Robinson 12' driving floating Shot","2pt","Jump Shot",NA,NA,NA,NA,"1629130 Duncan Robinson",0,3,8,9,-5,"10:03.00",NA,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"09:38.00",142,29,4,0,"DET","DET",0,0,"TEAM offensive REBOUND","rebound","offensive",NA,NA,NA,NA,NA,0,3,8,9,NA,"10:03.00",NA,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"09:28.00",152,32,2,1,"DET","DET",1,0,"MISS D. Robinson 25' 3PT","3pt","Jump Shot",NA,NA,NA,NA,"1629130 Duncan Robinson",0,3,8,9,NA,"10:03.00",0,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
